detuning_khz,sample,t_ns,t_bin_ns,diag_re,diag_im,diag_re0,diag_re_over_diag_re0,phase_rad,phase_deg
-50,2,300,300,4989964,-102,5000000,0.9979928,-2.0441029231e-05,-0.00117118470384
-50,3,0,0,5000000,0,5000000,1,0,0
-50,3,10,10,4999930,-1,5000000,0.999986,-2.00002800039e-07,-1.1459316333e-05
-50,3,20,20,4994983,-3,5000000,0.9989966,-6.00602644694e-07,-3.44119967053e-05
-50,3,30,30,4995043,-4,5000000,0.9990086,-8.00793907079e-07,-4.58821111354e-05
-50,3,40,40,4995410,-8,5000000,0.999082,-1.6014701496e-06,-9.1757480588e-05
-50,3,50,50,4995214,-22,5000000,0.9990428,-4.40421571525e-06,-0.000252342972549
-50,3,60,60,4995415,2,5000000,0.999083,4.00367136664e-07,2.29393471866e-05
-50,3,70,70,4995203,-29,5000000,0.9990406,-5.80556986366e-06,-0.000332634650856
-50,3,80,80,4995123,-57,5000000,0.9990246,-1.14111304161e-05,-0.000653809612317
-50,3,90,90,4994141,-59,5000000,0.9988282,-1.18138434612e-05,-0.000676883370156
-50,3,100,100,4991997,54,5000000,0.9983994,1.08173141927e-05,0.000619786448907
-50,3,110,110,4992851,143,5000000,0.9985702,2.86409508237e-05,0.00164100560344
-50,3,120,120,4992685,148,5000000,0.998537,2.96433682391e-05,0.00169843989065
-50,3,130,130,4991968,179,5000000,0.9983936,3.58576016359e-05,0.0020544892372
-50,3,140,140,4990226,58,5000000,0.9980452,1.16227200927e-05,0.000665932807774
-50,3,150,150,4988283,156,5000000,0.9976566,3.12732858078e-05,0.00179182728829
-50,3,160,160,4986354,159,5000000,0.9972708,3.18870260607e-05,0.0018269920145
-50,3,169.998945269,170,4983158,165,5000000,0.9966316,3.31115328753e-05,0.00189715108696
-50,3,180,180,4982331,205,5000000,0.9964662,4.11453995899e-05,0.00235745774288
-50,3,190,190,4979531,46,5000000,0.9959062,9.23781777816e-06,0.000529287970599
-50,3,200,200,4976450,13,5000000,0.99529,2.61230395161e-06,0.000149673991232
-50,3,210,210,4972612,259,5000000,0.9945224,5.20853024056e-05,0.0029842680025
-50,3,220,220,4976604,32,5000000,0.9953208,6.43008766612e-06,0.000368416885168
-50,3,230,230,4982019,-67,5000000,0.9964038,-1.34483630022e-05,-0.000770534441387
-50,3,240,240,4985232,161,5000000,0.9970464,3.22953876458e-05,0.00185038940984
-50,3,250,250,4986337,190,5000000,0.9972674,3.8104123309e-05,0.00218320544765
-50,3,260,260,4985651,392,5000000,0.9971302,7.86256396993e-05,0.00450491731628
-50,3,270,270,4986712,222,5000000,0.9973424,4.45183118362e-05,0.00255071137926
-50,3,280,280,4986485,515,5000000,0.997297,0.000103279163212,0.00591746016369
-50,3,290,290,4987692,312,5000000,0.9975384,6.25539828027e-05,0.00358407920633
-50,3,300,300,4990878,323,5000000,0.9981756,6.47180715596e-05,0.00370807235859
-50,4,0,0,5000000,0,5000000,1,0,0
-50,4,10,10,4999930,-1,5000000,0.999986,-2.00002800039e-07,-1.1459316333e-05
-50,4,20,20,4994983,-3,5000000,0.9989966,-6.00602644694e-07,-3.44119967053e-05
-50,4,30,30,4995043,-4,5000000,0.9990086,-8.00793907079e-07,-4.58821111354e-05
