detuning,seed,rank_count,check_index,grouped_index,kind,ancilla,weight,data_neighbors,toggling_z_expectation,disagreement_probability
p25,28,12,9,15,X,16,4,9;10;23;24,0.98477613165003297,0.0076119341749835145
p25,28,12,10,7,Z,17,2,10;24,0.98643385777412596,0.0067830711129370225
p25,28,12,11,8,Z,25,2,18;32,0.98400396929259049,0.0079980153537047571
p25,28,12,12,16,X,26,4,18;19;32;33,0.98541926578149508,0.0072903671092524602
p25,28,12,13,34,Z,27,4,19;20;33;34,0.97926220177961032,0.01036889911019484
p25,28,12,14,17,X,28,4,20;21;34;35,0.97485923397516627,0.012570383012416864
p25,28,12,15,35,Z,29,4,21;22;35;36,0.99038984172323552,0.00480507913838224
p25,28,12,16,18,X,30,4,22;23;36;37,0.9787545023228198,0.010622748838590101
p25,28,12,17,36,Z,31,4,23;24;37;38,0.96937174720829178,0.015314126395854111
p25,28,12,18,37,Z,39,4,32;33;46;47,0.95934344574157404,0.020328277129212979
p25,28,12,19,19,X,40,4,33;34;47;48,0.97710779981006846,0.011446100094965772
p25,28,12,20,38,Z,41,4,34;35;48;49,0.96277290149697459,0.018613549251512707
p25,28,12,21,20,X,42,4,35;36;49;50,0.96132213902231101,0.019338930488844497
p25,28,12,22,39,Z,43,4,36;37;50;51,0.97576803605750551,0.012115981971247247
p25,28,12,23,21,X,44,4,37;38;51;52,0.98616297939453779,0.0069185103027311068
p25,28,12,24,9,Z,45,2,38;52,0.99238295701458012,0.0038085214927099376
p25,28,12,25,10,Z,53,2,46;60,0.99161820780071808,0.0041908960996409617
p25,28,12,26,22,X,54,4,46;47;60;61,0.95211128658018851,0.023944356709905745
p25,28,12,27,40,Z,55,4,47;48;61;62,0.97238546737256748,0.01380726631371626
p25,28,12,28,23,X,56,4,48;49;62;63,0.95065812518610426,0.024670937406947868
p25,28,12,29,41,Z,57,4,49;50;63;64,0.98228773993756091,0.0088561300312195446
p25,28,12,30,24,X,58,4,50;51;64;65,0.98939568521641075,0.0053021573917946263
p25,28,12,31,42,Z,59,4,51;52;65;66,0.97084434447105239,0.014577827764473805
p25,28,12,32,43,Z,67,4,60;61;74;75,0.9630636190302958,0.018468190484852098
p25,28,12,33,25,X,68,4,61;62;75;76,0.97273708771215894,0.013631456143920528
p25,28,12,34,44,Z,69,4,62;63;76;77,0.97929526030382508,0.010352369848087462
p25,28,12,35,26,X,70,4,63;64;77;78,0.96577219606600151,0.017113901966999245
p25,28,12,36,45,Z,71,4,64;65;78;79,0.98168347215886298,0.0091582639205685101
p25,28,12,37,27,X,72,4,65;66;79;80,0.9580169073237258,0.020991546338137101
p25,28,12,38,11,Z,73,2,66;80,0.97950723309790133,0.010246383451049335
p25,28,12,39,12,Z,81,2,74;88,0.97738068180175397,0.011309659099123015
p25,28,12,40,28,X,82,4,74;75;88;89,0.97384865273035637,0.013075673634821816
p25,28,12,41,46,Z,83,4,75;76;89;90,0.97895044982001178,0.010524775089994109
p25,28,12,42,29,X,84,4,76;77;90;91,0.97573217212551722,0.012133913937241392
p25,28,12,43,47,Z,85,4,77;78;91;92,0.96132815251276305,0.019335923743618477
p25,28,12,44,30,X,86,4,78;79;92;93,0.98069052355472242,0.0096547382226387923
p25,28,12,45,48,Z,87,4,79;80;93;94,0.98256523058028078,0.0087173847098596102
p25,28,12,46,4,X,95,2,89;90,0.98423658164798078,0.0078817091760096103
p25,28,12,47,5,X,96,2,91;92,0.99068075405775913,0.0046596229711204362
p25,28,12,48,6,X,97,2,93;94,0.99154628115429921,0.0042268594228503931
p50,28,24,1,1,X,1,2,4;5,0.9912102287512039,0.0043948856243980483
p50,28,24,2,2,X,2,2,6;7,0.98091188422452225,0.0095440578877388771
p50,28,24,3,3,X,3,2,8;9,0.98303599063420899,0.0084820046828955054
p50,28,24,4,31,Z,11,4,4;5;18;19,0.96586340129790083,0.017068299351049587
p50,28,24,5,13,X,12,4,5;6;19;20,0.97648794538972405,0.011756027305137973
p50,28,24,6,32,Z,13,4,6;7;20;21,0.97331410523926121,0.013342947380369397
p50,28,24,7,14,X,14,4,7;8;21;22,0.98234191491777489,0.0088290425411125528
p50,28,24,8,33,Z,15,4,8;9;22;23,0.98274966415161347,0.0086251679241932666
p50,28,24,9,15,X,16,4,9;10;23;24,0.98409293570505818,0.0079535321474709098
p50,28,24,10,7,Z,17,2,10;24,0.98715476859545903,0.0064226157022704844
p50,28,24,11,8,Z,25,2,18;32,0.98787649593198712,0.0060617520340064401
p50,28,24,12,16,X,26,4,18;19;32;33,0.98756532462447721,0.0062173376877613928
p50,28,24,13,34,Z,27,4,19;20;33;34,0.97789954155219594,0.011050229223902031
p50,28,24,14,17,X,28,4,20;21;34;35,0.97635289671533121,0.011823551642334396
p50,28,24,15,35,Z,29,4,21;22;35;36,0.98738018331055977,0.0063099083447201165
p50,28,24,16,18,X,30,4,22;23;36;37,0.9794043086701828,0.0102978456649086
p50,28,24,17,36,Z,31,4,23;24;37;38,0.96984271807655442,0.015078640961722789
p50,28,24,18,37,Z,39,4,32;33;46;47,0.96183017597245257,0.019084912013773714
p50,28,24,19,19,X,40,4,33;34;47;48,0.97836239326558327,0.010818803367208363
p50,28,24,20,38,Z,41,4,34;35;48;49,0.96320831211723734,0.018395843941381329
p50,28,24,21,20,X,42,4,35;36;49;50,0.96200710461818351,0.018996447690908247
p50,28,24,22,39,Z,43,4,36;37;50;51,0.97512463891465873,0.012437680542670637
p50,28,24,23,21,X,44,4,37;38;51;52,0.98725154611965238,0.0063742269401738105
p50,28,24,24,9,Z,45,2,38;52,0.99137052335319031,0.0043147383234048431
p50,28,24,25,10,Z,53,2,46;60,0.99347559736872215,0.003262201315638924
p50,28,24,26,22,X,54,4,46;47;60;61,0.95269316941704607,0.023653415291476965
p50,28,24,27,40,Z,55,4,47;48;61;62,0.97320830999106456,0.013395845004467721
p50,28,24,28,23,X,56,4,48;49;62;63,0.95212492496011503,0.023937537519942487
p50,28,24,29,41,Z,57,4,49;50;63;64,0.98082051525103919,0.0095897423744804033
p50,28,24,30,24,X,58,4,50;51;64;65,0.98858319686467799,0.0057084015676610034
p50,28,24,31,42,Z,59,4,51;52;65;66,0.97026068943211963,0.014869655283940186
p50,28,24,32,43,Z,67,4,60;61;74;75,0.96602249125632023,0.016988754371839887
p50,28,24,33,25,X,68,4,61;62;75;76,0.97416086279935243,0.012919568600323783
p50,28,24,34,44,Z,69,4,62;63;76;77,0.97926926135789705,0.010365369321051476
p50,28,24,35,26,X,70,4,63;64;77;78,0.96688327426751175,0.016558362866244125
p50,28,24,36,45,Z,71,4,64;65;78;79,0.98103230523898644,0.0094838473805067824
p50,28,24,37,27,X,72,4,65;66;79;80,0.95814880568083838,0.020925597159580811
p50,28,24,38,11,Z,73,2,66;80,0.97993809267495535,0.010030953662522324
p50,28,24,39,12,Z,81,2,74;88,0.97929210433713798,0.01035394783143101
p50,28,24,40,28,X,82,4,74;75;88;89,0.97328846005613856,0.01335576997193072
p50,28,24,41,46,Z,83,4,75;76;89;90,0.97936884539820401,0.010315577300897993
p50,28,24,42,29,X,84,4,76;77;90;91,0.9744423809002275,0.01277880954988625
p50,28,24,43,47,Z,85,4,77;78;91;92,0.95869701549521469,0.020651492252392656
p50,28,24,44,30,X,86,4,78;79;92;93,0.98105795262141371,0.0094710236892931454
p50,28,24,45,48,Z,87,4,79;80;93;94,0.97953755457850167,0.010231222710749166
p50,28,24,46,4,X,95,2,89;90,0.9836098465486387,0.00819507672568065
p50,28,24,47,5,X,96,2,91;92,0.99028432733451555,0.0048578363327422269
p50,28,24,48,6,X,97,2,93;94,0.99133906699510488,0.0043304665024475608
