detuning,seed,rank_count,mean_disagreement_probability,min_disagreement_probability,max_disagreement_probability,x_mean_disagreement_probability,z_mean_disagreement_probability
m50,29,12,0.013635639027175671,0.0037611229542141578,0.027506901555670704,0.012383764124108675,0.014887513930242667
m25,28,24,0.012888820529890122,0.0038639793239901854,0.026104859473981112,0.012343574678798252,0.013434066380981992
0,28,24,0.012026398563537747,0.0030352796848572283,0.024132955634672992,0.011606725786055214,0.012446071341020278
p25,28,12,0.011696406438104901,0.0038085214927099376,0.024670937406947868,0.011531471463671584,0.011861341412538218
p50,28,24,0.011456478614846699,0.003262201315638924,0.023937537519942487,0.011340817873302433,0.011572139356390966
