group,n,qmc_mean,stim_mean,mean_diff_qmc_minus_stim,mean_abs_diff,rms_diff,pearson_corr,max_abs_diff,max_abs_diff_check_index,max_abs_diff_kind,max_abs_diff_stim_check
all,48,0.012026398563537747,0.005964295833333333,0.006062102730204413,0.007152202257614207,0.009092999274315691,0.15170882728281293,0.02083781333861199,4,Z,z_17
X,24,0.011606725786055214,0.0102801,0.0013266257860552145,0.0035068248408748025,0.004680107665092038,0.6214904965682151,0.013638555634672993,28,X,x_66
Z,24,0.012446071341020278,0.0016484916666666667,0.010797579674353611,0.010797579674353611,0.011977556672734138,0.3153510201664872,0.02083781333861199,4,Z,z_17
weight2,12,0.007093756728576396,0.0037538999999999997,0.003339856728576396,0.0040830095136065,0.005326244988628747,-0.016616317817677213,0.010928069513426782,39,Z,z_90
weight4,36,0.013670612508524863,0.006701094444444444,0.006969518064080419,0.008175266505616776,0.010039283798026129,0.023373336648146018,0.02083781333861199,4,Z,z_17
