detuning_khz,t_ns,n_samples,diag_re_over_diag_re0_mean,diag_re_over_diag_re0_bootstrap_se,diag_re_over_diag_re0_bootstrap_lo_68,diag_re_over_diag_re0_bootstrap_hi_68,diag_re_over_diag_re0_bootstrap_lo_95,diag_re_over_diag_re0_bootstrap_hi_95,phase_rad_mean,phase_rad_bootstrap_se,phase_rad_bootstrap_lo_68,phase_rad_bootstrap_hi_68,phase_rad_bootstrap_lo_95,phase_rad_bootstrap_hi_95,phase_deg_mean,phase_deg_bootstrap_se,phase_deg_bootstrap_lo_68,phase_deg_bootstrap_hi_68,phase_deg_bootstrap_lo_95,phase_deg_bootstrap_hi_95
-50,150,5,0.99749808,0.000458341484194,0.9970996,0.99789656,0.9964642,0.99837192,1.41450612642e-05,1.07954546888e-05,3.19004213545e-06,2.51000803929e-05,-8.9276734689e-06,3.3598678759e-05,0.000810452311392,0.000618533991594,0.00018277595083,0.00143812867195,-0.000511518010639,0.00192506249011
-50,160,5,0.99707284,0.000544007281693,0.99659728,0.99754924,0.99584412,0.99810528,6.01268239841e-06,9.61239962594e-06,-3.89437075305e-06,1.59197355499e-05,-1.24428637102e-05,2.4468228507e-05,0.000344501324981,0.000550749929559,-0.000223131008009,0.000912133657972,-0.000712923575653,0.00140192622562
-50,170,5,0.9965692,0.00062540124892,0.99602288,0.99711552,0.9952,0.99777232,-5.44210297515e-07,1.57520485154e-05,-1.87224465563e-05,1.49332966165e-05,-3.26522415122e-05,2.88630915724e-05,-3.11809532152e-05,0.000902525898617,-0.00107271716984,0.000855614870341,-0.00187083563029,0.0016537333308
-50,180,5,0.99619332,0.000747683140605,0.995542,0.9968528,0.99451224,0.99761784,8.47656150983e-06,1.31782450703e-05,-4.68522175348e-06,2.36103228995e-05,-1.68894865311e-05,3.38426095507e-05,0.000485671199296,0.000755057823919,-0.000268443432557,0.00135277185508,-0.000967696296373,0.00193903869497
-50,190,5,0.99559208,0.000855274850058,0.99485136,0.99635544,0.99368404,0.99723128,-7.88435533744e-07,7.78182145248e-06,-9.48866006311e-06,7.91178899563e-06,-1.81888845925e-05,1.07646594894e-05,-4.51740285017e-05,0.000445865526151,-0.000543660174851,0.000453312117847,-0.0010421463212,0.00061676955664
-50,200,5,0.99488952,0.00099278389606,0.99401216,0.9957872,0.99265792,0.99676128,-2.40925987615e-05,1.61064045312e-05,-4.16090592108e-05,-6.57613831221e-06,-6.06126219193e-05,1.1252016924e-06,-0.00138040422654,0.00092282900277,-0.00238402348229,-0.000376784970784,-0.0034728474212,6.44693080755e-05
-50,210,5,0.9940534,0.00114641464143,0.9930414,0.99509908,0.9914864,0.99621876,6.72023545626e-06,2.14404953178e-05,-1.69213386861e-05,3.03618095986e-05,-3.71899739088e-05,4.37198251634e-05,0.000385041128978,0.00122844989238,-0.000969521290425,0.00173960354838,-0.00213082854517,0.00250496146291
-50,220,5,0.9946592,0.00117971559948,0.99354264,0.99577576,0.99197112,0.99673792,-2.16348785114e-05,1.37882578135e-05,-3.6992892928e-05,-8.69449423665e-06,-4.99332772028e-05,4.01245752432e-06,-0.00123958722898,0.000790008979554,-0.00211953663675,-0.000498157824761,-0.00286096604097,0.000229896881619
-50,230,5,0.99558016,0.00111839430468,0.9944492,0.99671112,0.99301092,0.99736424,-1.09691695767e-05,1.46116481629e-05,-2.5863956372e-05,5.66769212809e-06,-3.55559028757e-05,2.05624789234e-05,-0.000628487121506,0.000837185771467,-0.00148189554163,0.000324734838519,-0.00203720317155,0.00117814325864
-50,240,5,0.99619096,0.00107031854485,0.99508616,0.99729576,0.993732,0.9978276,-1.00948068388e-05,2.32137616343e-05,-3.21391948807e-05,1.19048822072e-05,-5.41388839268e-05,3.22506886499e-05,-0.000578389826864,0.00133005056827,-0.00184144022361,0.000682099506075,-0.00310192955655,0.00184782834603
-50,250,5,0.99646804,0.00101680700084,0.99542304,0.99751304,0.9941324,0.99803856,-1.64628099973e-05,2.455428656e-05,-4.23350708059e-05,9.40945081133e-06,-6.43362983586e-05,3.1410678364e-05,-0.00094324953177,0.00140685698884,-0.00242562088257,0.000539121819025,-0.00368619836544,0.0017996993019
-50,260,5,0.99643404,0.000977994114745,0.99544872,0.99741936,0.994176,0.99799504,-1.00443605921e-08,3.20785769327e-05,-3.25191464898e-05,3.24990577686e-05,-6.40897127756e-05,6.40696240544e-05,-5.75499469834e-07,0.00183796707103,-0.00186320984723,0.0018620588483,-0.00367207005225,0.00367091905331
