check_index,qmc_grouped_index,kind,weight,qmc_ancilla,stim_check,stim_ancilla,qmc_data_neighbors,stim_data_neighbors,qmc_toggling_z_expectation,qmc_disagreement_probability,stim_disagreement_probability,qmc_minus_stim,abs_diff,ratio_qmc_over_stim,stim_shots
31,42,Z,4,59,z_72,72,51;52;65;66,"[56, 58, 71, 73]",0.97022569019166938,0.014887154904165312,0.0018149,0.013072254904165312,0.013072254904165312,8.2027411450577503,10000000
32,43,Z,4,67,z_77,77,60;61;74;75,"[61, 63, 76, 78]",0.96208766145856706,0.018956169270716472,0.0016419,0.01731426927071647,0.01731426927071647,11.54526418826754,10000000
33,25,X,4,68,x_79,79,61;62;75;76,"[63, 65, 78, 80]",0.97084104057311005,0.014579479713444976,0.013020899999999998,0.0015585797134449776,0.0015585797134449776,1.1196983091372315,10000000
34,44,Z,4,69,z_81,81,62;63;76;77,"[65, 67, 80, 82]",0.97764316798480744,0.011178416007596281,0.0020728,0.0091056160075962816,0.0091056160075962816,5.3929062174818032,10000000
35,26,X,4,70,x_83,83,63;64;77;78,"[67, 69, 82, 84]",0.96734609992179854,0.016326950039100729,0.0116046,0.0047223500391007298,0.0047223500391007298,1.4069377694277037,10000000
36,45,Z,4,71,z_85,85,64;65;78;79,"[69, 71, 84, 86]",0.98012060400314893,0.009939697998425534,0.0018254,0.0081142979984255344,0.0081142979984255344,5.4452163900654833,10000000
37,27,X,4,72,x_87,87,65;66;79;80,"[71, 73, 86, 88]",0.95835227205775508,0.020823863971122458,0.012768700000000001,0.0080551639711224574,0.0080551639711224574,1.630852316298641,10000000
38,11,Z,2,73,z_89,89,66;80,"[73, 88]",0.97793531332978034,0.011032343335109829,0.000777,0.010255343335109829,0.010255343335109829,14.19864007092642,10000000
39,12,Z,2,81,z_90,90,74;88,"[76, 91]",0.97544926097314644,0.012275369513426782,0.0013473,0.010928069513426782,0.010928069513426782,9.1110884832084764,10000000
40,28,X,4,82,x_92,92,74;75;88;89,"[76, 78, 91, 93]",0.97530198603565643,0.012349006982171784,0.010372300000000001,0.0019767069821717831,0.0019767069821717831,1.1905755697551925,10000000
41,46,Z,4,83,z_94,94,75;76;89;90,"[78, 80, 93, 95]",0.976405051925886,0.011797474037056999,0.0017033,0.010094174037056999,0.010094174037056999,6.9262455451517635,10000000
42,29,X,4,84,x_96,96,76;77;90;91,"[80, 82, 95, 97]",0.97643711247044684,0.011781443764776578,0.0084579,0.0033235437647765771,0.0033235437647765771,1.3929514140361765,10000000
43,47,Z,4,85,z_98,98,77;78;91;92,"[82, 84, 97, 99]",0.95932228645176254,0.02033885677411873,0.0015860000000000002,0.018752856774118729,0.018752856774118729,12.823995443958845,10000000
44,30,X,4,86,x_100,100,78;79;92;93,"[84, 86, 99, 101]",0.97927061420744832,0.01036469289627584,0.0091042,0.0012604928962758402,0.0012604928962758402,1.138451802055737,10000000
45,48,Z,4,87,z_102,102,79;80;93;94,"[86, 88, 101, 103]",0.98294208238844938,0.0085289588057753107,0.0016759000000000001,0.0068530588057753106,0.0068530588057753106,5.089181219509106,10000000
46,4,X,2,95,x_109,109,89;90,"[93, 95]",0.9842619526533618,0.0078690236733190977,0.0048886,0.0029804236733190978,0.0029804236733190978,1.6096681408417743,10000000
47,5,X,2,96,x_113,113,91;92,"[97, 99]",0.99041165921914887,0.0047941703904255673,0.0041686,0.00062557039042556752,0.00062557039042556752,1.1500672624923398,10000000
48,6,X,2,97,x_117,117,93;94,"[101, 103]",0.99179905493471665,0.0041004725326416747,0.0025932999999999998,0.0015071725326416749,0.0015071725326416749,1.5811793979260691,10000000
